Transaction ID,Store Name,Customer ID,Customer Age,Product ID,Product Category,Transaction Date,Payment Method,Shipping Address,City,Country,Coupon Used,Quantity Sold,Unit Price,Total Price,Discount Applied,Net Price
30060,Basic Depot,7786,41,174,Electronics,2024-04-16,PayPal,002 Christopher Spring,Port Christopher,Bhutan,SUMMER20,4,86,344,69,275
39741,Essential Mart,2024,42,173,Books,2024-04-11,PayPal,53887 Roy Stravenue,West Katie,Syrian Arab Republic,None,1,120,120,0,120
65935,Urban Goods,6202,41,136,Books,2024-04-22,PayPal,703 Burke Harbor Apt. 597,East Williamstad,Libyan Arab Jamahiriya,SPRING10,5,86,430,43,387
23244,Basic Depot,3013,42,190,Books,2024-04-08,Credit Card,76715 Keith Squares Apt. 316,Ashleyview,French Guiana,FALL15,2,54,108,16,92
62214,Essential Mart,4194,29,111,Clothing,2024-04-24,PayPal,53522 Tyler Motorway Apt. 093,Port Johnny,Bouvet Island (Bouvetoya),FALL15,2,28,56,8,48
78092,Urban Goods,8155,63,157,Clothing,2024-04-07,Credit Card,680 Reyes Drive,Andersonmouth,Isle of Man,SUMMER20,4,105,420,84,336
55948,Pure Market,9075,41,129,Home & Garden,2024-04-06,Credit Card,798 Frank Keys,Zacharymouth,Belgium,FALL15,1,119,119,18,101
48825,Pure Market,6111,44,140,Home & Garden,2024-04-11,Credit Card,726 Kelly Lodge,North Davidfort,Malaysia,FALL15,4,181,724,109,615
87917,Urban Goods,9927,35,178,Clothing,2024-04-14,Credit Card,84198 Kyle River Suite 641,Masseyport,South Africa,SUMMER20,3,71,213,43,170
21135,Pure Market,3465,30,199,Electronics,2024-04-06,PayPal,9382 Jason Ridges Suite 686,Lake Jeffreyburgh,Suriname,FALL15,1,32,32,5,27
84752,Urban Goods,1856,63,144,Clothing,2024-04-06,Credit Card,37564 John Summit,Chanside,Macao,SPRING10,1,143,143,14,129
75706,Basic Depot,8578,50,159,Electronics,2024-04-12,Credit Card,40950 Logan Forges Apt. 165,Parrishshire,Armenia,FALL15,4,71,284,43,241
47540,Pure Market,9144,56,191,Home & Garden,2024-04-11,Credit Card,77124 Murray Corners Suite 396,West Thomas,Cocos (Keeling) Islands,FALL15,4,122,488,73,415
95950,Pure Market,9802,57,140,Electronics,2024-04-18,PayPal,34042 Becky Trace,Jeanborough,Togo,SUMMER20,3,174,522,104,418
69712,Essential Mart,3382,22,182,Electronics,2024-04-14,Credit Card,6298 Brewer Cliff,East Loriberg,Mauritania,FALL15,1,118,118,18,100
79287,Essential Mart,2808,59,105,Clothing,2024-04-05,Credit Card,6478 Stanley Causeway,New Markland,Cambodia,SUMMER20,2,57,114,23,91
79183,Basic Depot,4145,56,116,Books,2024-04-03,PayPal,81731 Gonzales Rue,Livingstonbury,Saint Kitts and Nevis,SUMMER20,4,126,504,101,403
52987,Pure Market,8855,57,144,Electronics,2024-04-15,PayPal,5671 Lloyd Crossing Suite 507,Lake Jacob,Niue,FALL15,1,47,47,7,40
79818,Pure Market,5430,48,199,Electronics,2024-04-20,PayPal,52308 Lee Court Apt. 911,Dayhaven,Norway,None,1,151,151,0,151
88833,Pure Market,9412,50,124,Home & Garden,2024-04-19,Credit Card,542 Benson Cove,Port Mathewchester,Cook Islands,SPRING10,2,45,90,9,81
46414,Pure Market,2754,60,119,Books,2024-04-01,Credit Card,4140 Hooper Park,Ricardoton,Zimbabwe,SPRING10,3,130,390,39,351
45961,Pure Market,8826,30,135,Clothing,2024-04-17,PayPal,588 Joel Locks Suite 636,Debraton,Azerbaijan,SUMMER20,2,123,246,49,197
88955,Urban Goods,7362,37,186,Books,2024-04-03,PayPal,19856 Daniel Plains Apt. 438,New Christopher,Poland,SUMMER20,3,197,591,118,473
96186,Urban Goods,8593,53,104,Home & Garden,2024-04-20,Credit Card,7092 Tracy Grove Suite 520,Evansview,Pitcairn Islands,SPRING10,4,55,220,22,198
41006,Pure Market,1550,65,149,Electronics,2024-04-10,Credit Card,93724 Harrison Parkways,Bethberg,Cambodia,SUMMER20,1,109,109,22,87
96419,Urban Goods,9895,51,152,Electronics,2024-03-30,Credit Card,2183 Philip Forges,New Paula,Bouvet Island (Bouvetoya),SUMMER20,3,40,120,24,96
98179,Essential Mart,2897,35,191,Home & Garden,2024-04-03,Credit Card,06367 Howard Trafficway,Markburgh,Gambia,SPRING10,4,178,712,71,641
22683,Basic Depot,4576,57,182,Home & Garden,2024-03-30,Credit Card,12161 Robert Lake,Lake Charleshaven,Tuvalu,FALL15,3,115,345,52,293
57832,Urban Goods,3675,46,141,Home & Garden,2024-04-15,PayPal,56716 Turner Lights,East Kevinport,Zambia,SUMMER20,5,193,965,193,772
89119,Essential Mart,3525,22,161,Books,2024-04-13,PayPal,466 Mitchell Bypass Suite 047,Nathanborough,Bosnia and Herzegovina,None,2,81,162,0,162
86414,Basic Depot,9646,34,158,Clothing,2024-04-07,PayPal,626 Bell Ville Apt. 703,Port Audrey,Lebanon,None,3,42,126,0,126
90671,Pure Market,2983,51,157,Books,2024-03-29,Credit Card,86886 Joshua Mill Suite 415,East Ericatown,Romania,SUMMER20,4,162,648,130,518
81236,Pure Market,1298,50,192,Home & Garden,2024-04-11,Credit Card,1598 Keith Station Apt. 550,Christinaview,Bangladesh,FALL15,3,143,429,64,365
94976,Essential Mart,2008,31,133,Books,2024-04-12,Credit Card,5331 Katherine Pass,Andrewtown,Gabon,None,3,97,291,0,291
46170,Essential Mart,3350,35,123,Clothing,2024-04-09,PayPal,4725 Anderson Court,Debbiefurt,Central African Republic,FALL15,1,141,141,21,120
18003,Basic Depot,4651,54,167,Home & Garden,2024-04-15,Credit Card,24087 Sanders Ramp Suite 745,Rochaberg,Chad,SPRING10,2,194,388,39,349
70779,Essential Mart,3153,50,115,Home & Garden,2024-04-22,PayPal,8103 Valerie Hill Apt. 305,Bryanberg,Guinea,FALL15,5,71,355,53,302
40403,Basic Depot,1423,26,104,Clothing,2024-04-01,Credit Card,515 Patrick Islands Suite 422,Port Michele,Iraq,SPRING10,1,169,169,17,152
20005,Urban Goods,9261,28,171,Home & Garden,2024-03-30,PayPal,29382 Nicole Radial Apt. 506,New Tammy,Suriname,FALL15,3,126,378,57,321
53214,Urban Goods,6918,57,135,Clothing,2024-04-08,PayPal,67758 Amber Mall,Wendyville,Indonesia,SPRING10,3,135,405,40,365
47917,Urban Goods,6607,27,114,Electronics,2024-04-07,Credit Card,064 Lori Mountains Apt. 389,Jeffreyberg,United States of America,None,3,130,390,0,390
54265,Urban Goods,1799,65,141,Home & Garden,2024-04-20,PayPal,9882 Hayes Expressway,West Margaret,Panama,FALL15,3,115,345,52,293
77736,Basic Depot,7989,63,111,Home & Garden,2024-04-10,Credit Card,4577 Shannon Turnpike,New Jacobmouth,Mayotte,None,3,182,546,0,546
61889,Essential Mart,7280,37,184,Electronics,2024-04-05,PayPal,27723 Austin Springs Apt. 236,Robertmouth,Slovakia (Slovak Republic),SPRING10,1,145,145,14,131
84667,Urban Goods,2060,59,170,Home & Garden,2024-04-09,Credit Card,792 Williams Park Apt. 984,East Jamesshire,Cyprus,None,1,174,174,0,174
64924,Essential Mart,3180,23,195,Electronics,2024-04-22,Credit Card,95785 Frances Cape Suite 042,Brooksmouth,North Macedonia,FALL15,1,185,185,28,157
94287,Basic Depot,1096,26,149,Electronics,2024-03-28,PayPal,97446 Teresa Hill,South Timothy,Central African Republic,FALL15,2,133,266,40,226
13281,Basic Depot,8426,27,181,Electronics,2024-04-04,PayPal,927 Peters Spring,Ericville,Venezuela,None,3,84,252,0,252
29779,Pure Market,6736,49,158,Clothing,2024-04-05,PayPal,778 Dakota Roads Apt. 652,Gomezfurt,Cambodia,SUMMER20,1,80,80,16,64
17326,Pure Market,9009,34,124,Books,2024-04-07,Credit Card,90227 Travis Stravenue,East Sabrina,Austria,SUMMER20,2,91,182,36,146
13624,Pure Market,5756,41,116,Books,2024-04-19,Credit Card,7679 Johnson Forge,Kimberlyfurt,Lebanon,None,1,157,157,0,157
71912,Urban Goods,1094,22,124,Clothing,2024-04-03,Credit Card,654 Anderson Light,Lamberttown,Martinique,None,2,26,52,0,52
69690,Basic Depot,7908,29,125,Clothing,2024-04-06,Credit Card,6542 Walker Pike Suite 069,East Gina,Solomon Islands,SUMMER20,2,163,326,65,261
79400,Urban Goods,6972,38,155,Electronics,2024-04-04,PayPal,47218 Wood Ferry,Diamondberg,Cocos (Keeling) Islands,FALL15,4,37,148,22,126
10035,Pure Market,2967,52,103,Home & Garden,2024-04-12,PayPal,0720 Houston Circle Apt. 292,Emmachester,Switzerland,SUMMER20,1,124,124,25,99
87051,Urban Goods,2092,44,197,Home & Garden,2024-04-17,PayPal,95407 Gonzales Center,Matthewberg,Burkina Faso,None,2,173,346,0,346
40849,Basic Depot,7713,33,107,Books,2024-03-31,PayPal,70109 Zamora Rapid Apt. 252,Vanceville,United Kingdom,SUMMER20,3,27,81,16,65
18410,Urban Goods,3710,62,134,Books,2024-04-02,Credit Card,248 Zamora Port Suite 568,Port Lauren,Italy,SPRING10,4,157,628,63,565
88249,Essential Mart,1694,32,156,Clothing,2024-04-12,PayPal,12847 Anna Shore,Zacharyside,Turkey,SPRING10,5,199,995,100,895
18713,Essential Mart,9569,42,140,Books,2024-04-05,Credit Card,62097 Jacob Camp Apt. 213,Port Sandraside,Ukraine,SPRING10,5,74,370,37,333
72763,Essential Mart,1101,51,149,Clothing,2024-04-17,Credit Card,347 Joshua Flat,North James,Cambodia,FALL15,2,44,88,13,75
99742,Pure Market,5903,61,111,Clothing,2024-04-22,PayPal,3870 Smith Cliffs Apt. 344,Barnesview,Guatemala,None,3,148,444,0,444
68360,Essential Mart,6929,33,194,Home & Garden,2024-04-08,Credit Card,5774 Mary Light Apt. 346,New Chad,Turks and Caicos Islands,SPRING10,2,150,300,30,270
59109,Pure Market,4072,52,182,Home & Garden,2024-04-07,PayPal,1862 Pamela Cliff,Johnland,Uganda,SPRING10,4,43,172,17,155
41143,Essential Mart,7338,31,137,Clothing,2024-04-15,Credit Card,4419 Cunningham Via,West Harry,Cote d'Ivoire,SPRING10,4,62,248,25,223
84184,Urban Goods,3620,30,105,Electronics,2024-04-14,Credit Card,37955 Isabel Crescent Suite 633,North Robert,Saint Kitts and Nevis,FALL15,3,48,144,22,122
11262,Essential Mart,7631,55,166,Clothing,2024-04-13,PayPal,14149 Randall Square Suite 433,Wrightfurt,Suriname,None,4,94,376,0,376
22843,Basic Depot,6867,37,106,Books,2024-03-27,PayPal,44374 Reynolds Place,Daniellemouth,Guam,SPRING10,3,57,171,17,154
85418,Pure Market,2863,56,149,Clothing,2024-04-06,PayPal,76802 Smith Loop,West Jennifer,Burundi,SPRING10,1,54,54,5,49
94993,Essential Mart,6117,24,175,Home & Garden,2024-03-27,PayPal,9367 Mendez Lake Apt. 006,East John,Pitcairn Islands,FALL15,1,35,35,5,30
20787,Urban Goods,4727,39,156,Home & Garden,2024-04-04,Credit Card,25525 Barker Inlet Apt. 419,Port Thomas,Belgium,SUMMER20,2,153,306,61,245
47024,Basic Depot,7157,59,152,Electronics,2024-04-19,PayPal,2002 Roth Views,Lake Kevin,Turkey,SPRING10,1,117,117,12,105
85287,Essential Mart,2059,28,183,Electronics,2024-04-21,PayPal,2724 Erica Burgs Suite 357,Aaronside,Korea,SPRING10,5,22,110,11,99
80759,Essential Mart,5562,64,124,Electronics,2024-04-24,PayPal,857 Parker Pike,North Harrybury,Isle of Man,FALL15,4,108,432,65,367
39251,Urban Goods,7758,59,158,Electronics,2024-03-28,Credit Card,163 Hogan Mountains,Lake Jill,Sierra Leone,FALL15,4,44,176,26,150
75177,Pure Market,2402,43,187,Clothing,2024-04-01,PayPal,180 Cox Village,South Jane,Indonesia,SUMMER20,5,168,840,168,672
46021,Pure Market,5285,49,142,Electronics,2024-04-17,Credit Card,692 Norris Shore,Longfurt,Papua New Guinea,SPRING10,2,37,74,7,67
15611,Essential Mart,1571,58,190,Home & Garden,2024-04-20,PayPal,91937 Charles Underpass,Craigton,Equatorial Guinea,None,1,61,61,0,61
86323,Essential Mart,1394,32,149,Home & Garden,2024-04-09,PayPal,4429 Nielsen Isle,Port Joshua,Nicaragua,None,5,194,970,0,970
48685,Urban Goods,5869,28,136,Electronics,2024-04-07,Credit Card,21087 Joseph Parkways Suite 908,Port Charleston,Samoa,SPRING10,3,88,264,26,238
51717,Basic Depot,5739,44,199,Books,2024-03-31,Credit Card,63633 Greer Curve Suite 108,New Lori,Namibia,FALL15,5,190,950,142,808
69868,Pure Market,4689,45,166,Books,2024-04-23,PayPal,57725 Joshua Crossing Suite 413,West Robertmouth,Cyprus,None,3,106,318,0,318
84446,Essential Mart,1715,55,195,Electronics,2024-03-27,Credit Card,184 Rogers Trail,East Charles,Mayotte,SUMMER20,5,172,860,172,688
62299,Essential Mart,5479,35,171,Books,2024-04-24,PayPal,0497 Mooney Fields,Port Matthewmouth,Algeria,None,3,137,411,0,411
77566,Pure Market,9129,35,192,Home & Garden,2024-04-20,PayPal,82472 Alexander Mall Apt. 566,Cowanburgh,Trinidad and Tobago,FALL15,1,31,31,5,26
34701,Basic Depot,3997,47,183,Electronics,2024-03-29,PayPal,732 Mark Lock Apt. 990,Turnermouth,Antarctica (the territory South of 60 deg S),SPRING10,3,180,540,54,486
58069,Pure Market,8888,38,199,Books,2024-04-25,PayPal,5907 Alvarado Throughway,Saraborough,Gabon,SPRING10,3,190,570,57,513
57211,Essential Mart,3074,42,155,Electronics,2024-03-28,Credit Card,89406 Katherine Roads,New Kathryn,Cameroon,SUMMER20,2,35,70,14,56
56162,Basic Depot,2496,58,143,Home & Garden,2024-04-19,Credit Card,4772 Joshua Isle,South Edwin,Panama,None,1,41,41,0,41
68106,Pure Market,2597,23,129,Clothing,2024-04-10,Credit Card,7000 Anna Brooks,Phillipsview,Cambodia,SUMMER20,1,156,156,31,125
22535,Basic Depot,6501,29,112,Electronics,2024-04-10,Credit Card,46246 Michelle Vista Apt. 064,Lake Lori,Saint Kitts and Nevis,SUMMER20,4,139,556,111,445
56828,Pure Market,4978,55,186,Electronics,2024-04-02,Credit Card,75959 Tyrone Loaf,Nunezhaven,Montserrat,SPRING10,3,53,159,16,143
25059,Urban Goods,7528,32,162,Home & Garden,2024-04-09,PayPal,017 Goodwin Estates,Dakotaville,Liberia,SPRING10,3,67,201,20,181
56037,Pure Market,5226,35,130,Electronics,2024-04-10,Credit Card,30153 Moyer Tunnel,East Jamie,Heard Island and McDonald Islands,SUMMER20,2,47,94,19,75
38028,Urban Goods,4888,46,167,Books,2024-04-14,Credit Card,1905 Wendy Parkway Apt. 518,Lake Marymouth,Marshall Islands,None,1,84,84,0,84
81640,Basic Depot,7533,38,150,Clothing,2024-04-24,PayPal,1258 Karen Lake,Mathewchester,Northern Mariana Islands,FALL15,1,148,148,22,126
61665,Pure Market,4384,39,197,Electronics,2024-04-14,PayPal,133 Steven Brook Apt. 058,Mayohaven,Lao People's Democratic Republic,FALL15,3,110,330,50,280
11944,Essential Mart,5202,33,170,Clothing,2024-04-01,Credit Card,56275 King Estate Apt. 068,Thorntonberg,Cook Islands,SUMMER20,1,121,121,24,97
26755,Essential Mart,5816,46,169,Clothing,2024-04-14,Credit Card,52294 Denise Junction Apt. 966,Wilsonberg,Greenland,SPRING10,1,50,50,5,45
66296,Urban Goods,4096,24,109,Electronics,2024-03-27,Credit Card,95706 Corey Rue Suite 399,Kellyton,Paraguay,FALL15,5,107,535,80,455
60003,Pure Market,2390,25,163,Electronics,2024-03-28,PayPal,561 Carla Creek,Turnerbury,Moldova,SPRING10,5,72,360,36,324
59120,Urban Goods,7648,56,188,Clothing,2024-03-28,PayPal,9595 Sanders Motorway,Rachelton,Guatemala,SPRING10,1,160,160,16,144
45470,Essential Mart,9749,59,139,Books,2024-04-16,Credit Card,015 Michelle Landing Suite 225,Michelleside,Sri Lanka,FALL15,4,109,436,65,371
56459,Essential Mart,4743,50,108,Clothing,2024-04-06,Credit Card,6747 Justin Ranch Suite 885,Zacharyburgh,Samoa,SPRING10,1,159,159,16,143
65531,Urban Goods,8271,48,126,Books,2024-04-09,Credit Card,25423 Christopher Meadow,Nealfort,French Southern Territories,SPRING10,5,170,850,85,765
13286,Urban Goods,9598,52,133,Books,2024-04-22,Credit Card,335 Ashley Key Apt. 457,Gloverland,Sudan,FALL15,3,91,273,41,232
96558,Essential Mart,5901,31,199,Electronics,2024-04-02,PayPal,970 Campbell Junctions,Port Amanda,Sierra Leone,None,5,177,885,0,885
31339,Pure Market,5174,49,191,Books,2024-04-01,PayPal,72680 Craig Walk,Morrisonfurt,Kyrgyz Republic,SPRING10,2,62,124,12,112
48727,Pure Market,7943,28,155,Clothing,2024-04-13,PayPal,2490 Reese Summit Apt. 201,West Jon,Sudan,None,5,22,110,0,110
96315,Urban Goods,2733,30,134,Electronics,2024-04-16,Credit Card,7743 Timothy Fields Suite 085,East Steven,Mali,SUMMER20,4,177,708,142,566
12691,Pure Market,5106,34,160,Clothing,2024-04-20,PayPal,16079 Smith Meadow,Port Mary,Greenland,FALL15,2,100,200,30,170
67916,Basic Depot,4232,64,126,Home & Garden,2024-04-09,PayPal,490 Newton Valleys Apt. 673,Morgantown,Nicaragua,FALL15,2,93,186,28,158
10973,Urban Goods,5365,62,147,Books,2024-04-10,PayPal,11211 Green Alley Apt. 339,Aaronbury,Mozambique,None,3,185,555,0,555
94306,Pure Market,9439,31,191,Electronics,2024-03-31,Credit Card,050 Rose Road Suite 998,Williamsfort,Turkey,FALL15,3,118,354,53,301
19623,Basic Depot,2180,60,110,Electronics,2024-04-04,PayPal,888 Dennis Street,Lake Ashleyport,Sierra Leone,SUMMER20,3,54,162,32,130
23833,Basic Depot,3362,55,124,Books,2024-04-11,PayPal,7161 Castro Valley Apt. 393,East Amandaland,Togo,SUMMER20,2,47,94,19,75
62490,Urban Goods,8302,33,114,Home & Garden,2024-03-27,Credit Card,512 Joe Skyway,New Brittany,United States of America,FALL15,3,133,399,60,339
63138,Essential Mart,3646,39,144,Home & Garden,2024-04-15,PayPal,7470 Andrew Wells Suite 722,Lake Gabrielleside,Comoros,SPRING10,3,153,459,46,413
62805,Basic Depot,7847,31,113,Books,2024-04-07,Credit Card,959 Jeffrey Cliffs,South Elizabeth,United States Virgin Islands,None,3,124,372,0,372
38150,Urban Goods,6154,44,157,Books,2024-04-13,PayPal,73998 Nelson Tunnel,East Douglas,New Zealand,FALL15,2,130,260,39,221
20218,Essential Mart,5202,40,126,Electronics,2024-04-14,Credit Card,71061 Miller Dale,Lake Troymouth,Japan,SUMMER20,4,169,676,135,541
40430,Essential Mart,7437,46,198,Electronics,2024-04-03,PayPal,35367 Gwendolyn Extension,West Justinbury,British Virgin Islands,SPRING10,3,80,240,24,216
90952,Urban Goods,7244,24,179,Books,2024-04-20,PayPal,81702 Jo Station,Brownburgh,Czech Republic,SPRING10,4,45,180,18,162
75852,Urban Goods,4749,61,188,Home & Garden,2024-04-06,PayPal,293 Mcgrath Street Apt. 271,North Ryan,Northern Mariana Islands,SUMMER20,4,65,260,52,208
28049,Basic Depot,4214,53,149,Books,2024-04-10,PayPal,1812 Jessica Course Apt. 989,Ericksonmouth,Morocco,FALL15,4,146,584,88,496
23351,Basic Depot,7151,42,146,Electronics,2024-04-07,PayPal,707 Tyler Mountains Apt. 331,Jamieberg,Estonia,None,1,26,26,0,26
18175,Essential Mart,4561,53,100,Home & Garden,2024-04-23,PayPal,5670 Daniel Station Suite 802,Port Thomasburgh,Antigua and Barbuda,FALL15,1,96,96,14,82
29671,Basic Depot,1603,28,187,Books,2024-04-13,PayPal,5807 Megan Row Suite 917,Abbottbury,Nepal,SPRING10,1,41,41,4,37
10498,Urban Goods,7552,53,148,Books,2024-04-23,PayPal,00853 Martinez Rapids,South Robertborough,United States Virgin Islands,None,4,62,248,0,248
15293,Basic Depot,6852,26,172,Electronics,2024-04-04,Credit Card,2072 Dustin Knolls Apt. 181,East Krystalborough,New Caledonia,FALL15,3,159,477,72,405
24296,Basic Depot,5949,41,171,Electronics,2024-04-18,Credit Card,822 Lawrence Isle,North Elizabeth,Benin,None,1,54,54,0,54
86775,Urban Goods,7397,34,170,Clothing,2024-04-20,PayPal,816 Mary Station,South Brian,Christmas Island,SPRING10,3,90,270,27,243
43997,Urban Goods,4928,22,193,Home & Garden,2024-04-08,PayPal,66007 Anderson Mount Apt. 787,East Sheilahaven,Belize,SUMMER20,2,133,266,53,213
62423,Pure Market,3006,65,186,Books,2024-04-15,PayPal,27457 Daniel Pike,New Vickie,Myanmar,None,1,25,25,0,25
73980,Urban Goods,1675,59,197,Home & Garden,2024-03-27,PayPal,43464 Jacob Summit Apt. 489,New Austinfurt,French Guiana,None,4,90,360,0,360
85129,Basic Depot,3615,49,149,Home & Garden,2024-04-25,Credit Card,35311 Arias Station Apt. 471,North Samuel,Timor-Leste,SPRING10,2,50,100,10,90
13633,Urban Goods,7437,51,191,Books,2024-03-30,PayPal,5634 Cynthia Vista Suite 343,Port Sandrahaven,Sierra Leone,None,5,155,775,0,775
72914,Basic Depot,8691,65,116,Home & Garden,2024-04-25,Credit Card,251 Aguilar Rest,Mccarthyfort,Tonga,FALL15,1,116,116,17,99
28732,Basic Depot,6870,22,151,Electronics,2024-04-16,PayPal,281 Chen Knoll,East Elizabeth,Albania,SPRING10,5,87,435,44,391
68114,Essential Mart,6863,59,191,Clothing,2024-04-12,Credit Card,8723 Christopher Estates,South Dianabury,Mozambique,FALL15,2,91,182,27,155
10579,Basic Depot,4381,29,168,Books,2024-04-23,Credit Card,43707 Patricia Canyon,West Jillian,Australia,FALL15,1,20,20,3,17
64538,Basic Depot,5637,41,139,Home & Garden,2024-03-31,PayPal,675 Alexandra Parks,New Zacharybury,Russian Federation,FALL15,1,32,32,5,27
76322,Urban Goods,5840,64,182,Electronics,2024-04-20,PayPal,830 Michelle Springs,Carrillochester,Heard Island and McDonald Islands,FALL15,2,190,380,57,323
90636,Basic Depot,9569,57,164,Clothing,2024-04-23,PayPal,085 Hanson Stravenue,Cummingstown,Bangladesh,SUMMER20,4,128,512,102,410
52239,Essential Mart,6120,42,163,Clothing,2024-04-21,Credit Card,5655 Sanders Dam Suite 860,Amberstad,Palau,FALL15,5,82,410,62,348
94899,Essential Mart,8800,46,161,Books,2024-03-28,PayPal,62939 Virginia Knoll Suite 572,Melanieview,Jamaica,SPRING10,4,116,464,46,418
82721,Essential Mart,5305,29,119,Books,2024-04-03,PayPal,0716 Tammy Spur Apt. 050,Popeland,Monaco,None,2,74,148,0,148
89625,Pure Market,3924,58,129,Clothing,2024-04-02,Credit Card,229 Newman Field Apt. 587,Mannview,Botswana,SPRING10,2,54,108,11,97
15007,Pure Market,8000,48,113,Clothing,2024-04-02,Credit Card,7199 Connie Wells Suite 644,Nicholasfurt,Belize,SUMMER20,2,105,210,42,168
72449,Basic Depot,9173,31,130,Clothing,2024-03-27,PayPal,3568 Lisa Drive,Morenoshire,Uzbekistan,None,3,162,486,0,486
50261,Essential Mart,8516,55,179,Clothing,2024-03-28,PayPal,141 Martinez Passage Apt. 209,East Andreaton,Puerto Rico,None,2,145,290,0,290
49681,Urban Goods,8223,35,121,Books,2024-03-29,Credit Card,550 Thomas Hill Suite 944,Josephtown,Canada,SUMMER20,5,137,685,137,548
86122,Urban Goods,3213,48,146,Clothing,2024-04-19,PayPal,64383 Christine Trail Apt. 190,Lake Loriville,Andorra,SPRING10,5,132,660,66,594
12825,Basic Depot,4394,51,178,Books,2024-04-13,PayPal,10087 Reyes Prairie,Roweborough,Korea,SUMMER20,2,54,108,22,86
63275,Urban Goods,9255,48,162,Electronics,2024-04-07,PayPal,55838 Gibbs Point Apt. 829,Sandovalfurt,Bermuda,None,1,20,20,0,20
96706,Urban Goods,1515,48,103,Home & Garden,2024-03-30,PayPal,2851 Jesse Island,Kleinhaven,Cyprus,None,1,104,104,0,104
